Issue Type,Summary,Epic Name,Epic Link,Story ID,Description,Labels,Fix Version/s
Epic,"[AUTH] Authentication, Accounts & Roles",ESA-AUTH,,,,"auth,phase-1-core-procurement,security",Phase 1 - Core Procurement
Story,AUTH1 — Register an account,,ESA-AUTH,AUTH1,"As a visitor, I can create an account to access the app.

Acceptance Criteria:
- Form: name, email, password.
- Validation + error states.
- Success logs in (or email-verify if enabled) and redirects to onboarding.","auth,phase-1-core-procurement,security,story",Phase 1 - Core Procurement
Story,AUTH2 — Log in / Log out,,ESA-AUTH,AUTH2,"As a user, I can securely log in and log out.

Acceptance Criteria:
- Valid creds → session established.
- Invalid creds → error shown.
- Logout clears session and returns to public/login.","auth,phase-1-core-procurement,security,story",Phase 1 - Core Procurement
Story,AUTH3 — Roles are enforced per company,,ESA-AUTH,AUTH3,"As the system, I enforce RBAC (owner, buyer_admin, buyer_requester, supplier_admin,
supplier_estimator, finance, super_admin).

Acceptance Criteria:
- Role gates applied on routes/components.
- Unauthorized → 403 (or redirect) + friendly message.","auth,phase-1-core-procurement,security,story",Phase 1 - Core Procurement
Story,AUTH4 — Multi-org switching,,ESA-AUTH,AUTH4,"As a user, I can belong to multiple companies and switch the active company.

Acceptance Criteria:
- “Switch organisation” menu shows all memberships.
- Switching scopes data/permissions immediately.","auth,phase-1-core-procurement,security,story",Phase 1 - Core Procurement
Story,AUTH5 — Email verification & password reset,,ESA-AUTH,AUTH5,"Acceptance Criteria:
- send verify email on signup; locked until verified; forgot-password email.","auth,phase-1-core-procurement,security,story",Phase 1 - Core Procurement
Story,AUTH6 — Signup creates buyer company + owner membership (buyer or supplier-first),,ESA-AUTH,AUTH6,"As the system, when a user signs up, I create a new company and make them the owner. The company’s initial mode (Buyer or Supplier) is set based on the user’s signup choice (defaulting to Buyer if not provided).

Acceptance Criteria:
- On successful signup, create:
company record
membership record for the user with role owner

- Set initial company state:
supplier_status = none (until super admin approves via SUPA2)
company_profile_completed_at = null (until buyer wizard completed via ONB1)

- If signup choice = Buyer (or choice not provided):
Redirect to buyer onboarding wizard /onboarding/company (ONB1)
Buyer features remain gated until onboarding completion (ONB2)

- If signup choice = Supplier:
Mark company as supplier-first (store onboarding/start mode on company)
Do not redirect to buyer onboarding wizard
Redirect to Supplier setup entry point (e.g., “Complete Supplier Application” / SUPA1)
Supplier remains not visible in supplier directory until approved + public + profile complete (SUPD1/SUPD4)
No plan selection / payment prompts are triggered for supplier-first onboarding (handled by BIL9)","auth,phase-1-core-procurement,security,story",Phase 1 - Core Procurement
Story,AUTH7 — Signup captures company name,,ESA-AUTH,AUTH7,"As a visitor, I can enter company name during signup so onboarding is faster.

Acceptance Criteria:
- company name collected on signup OR prefilled in B1 wizard.","auth,phase-1-core-procurement,security,story",Phase 1 - Core Procurement
Story,AUTH8 — Verify company email domain,,ESA-AUTH,AUTH8,"As an owner, I can verify our corporate email domain to simplify onboarding and improve
security.

Acceptance Criteria:
- Settings allow adding a domain (e.g., example.com) and give a DNS TXT or verification email method.
- Once verified, domain is marked verified on company record.
- Verification status affects invite and join flows (see next stories).","auth,phase-1-core-procurement,security,story",Phase 1 - Core Procurement
Story,AUTH9 — Restrict invitations to verified domain (optional),,ESA-AUTH,AUTH9,"As an owner, I can restrict invitations to my verified domain.

Acceptance Criteria:
- Toggle in company settings: “Allow invites only for emails on verified domain(s)”.
- When enabled, invites to external domains are blocked with clear error.
- Owners/super admins can still override using a special flow if required (with audit entry).","auth,phase-1-core-procurement,security,story",Phase 1 - Core Procurement
Story,AUTH10 — Join existing company by domain,,ESA-AUTH,AUTH10,"As a new user whose email matches a verified domain, I can request to join the existing
company instead of creating a duplicate.

Acceptance Criteria:
- On signup, if email domain matches a verified company, user is offered “Request to join <Company>” instead of auto-creating a new tenant.
- A join request is sent to that company’s admins (I1/I3 integration).
- Admins can approve/deny join; approval attaches user to company and notifies them.
- If denied, user may still create a separate company (with clear explanation).","auth,phase-1-core-procurement,security,story",Phase 1 - Core Procurement
Story,AUTH11 — Choose Buyer vs Supplier at signup,,ESA-AUTH,AUTH11,"As a visitor, I can choose to start as a Buyer or as a Supplier during sign up so the platform onboards me correctly.

Acceptance Criteria:
- Signup form includes a required choice: “Start as Buyer” or “Start as Supplier”.
- Buyer path follows existing flow (creates buyer company + owner membership; routes to buyer onboarding).
- Supplier path creates a company flagged as supplier-first (supplier_status=pending; supplier_profile_completed_at is null) and routes to Supplier Onboarding/Apply flow.
- The chosen start mode is stored on the company (e.g., company_type=buyer|supplier or onboarding_mode).
- User is created as company owner; RBAC works as per AUTH3.","auth,phase-1-core-procurement,security,story",Phase 1 - Core Procurement
Epic,[ONB] Buyer Company Onboarding,ESA-ONB,,,,"onboarding,phase-1-core-procurement",Phase 1 - Core Procurement
Story,ONB1 — Company wizard after signup,,ESA-ONB,ONB1,"As a new user (owner), I must complete a company wizard to use buyer features.

Acceptance Criteria:
- Redirect to /onboarding/company until completed.
- Fields include legal name, country, address, optional tax/registration, industry, default currency.
- Completing sets company_profile_completed_at.","onboarding,phase-1-core-procurement,story",Phase 1 - Core Procurement
Story,ONB2 — Guard buyer features until onboarding,,ESA-ONB,ONB2,"As the system, I block buyer routes until company onboarding is complete.

Acceptance Criteria:
- Middleware blocks access; shows banner/redirect to onboarding.
- Invited users into an existing company bypass the wizard.","onboarding,phase-1-core-procurement,story",Phase 1 - Core Procurement
Story,ONB3 — Supplier-first tenants bypass buyer onboarding + buyer feature gating,,,,"As the system, when a company starts as Supplier, I do not force buyer company onboarding and I keep buyer-only features gated until they intentionally enable Buyer mode later.

Acceptance Criteria:
- If company start mode = Supplier, do not redirect to /onboarding/company (buyer wizard).
- Buyer-only routes/components are hidden or blocked with a clear message + CTA (e.g., “Switch to Buyer mode / Complete buyer onboarding”).
- Supplier Onboarding/Apply flow remains accessible while supplier is pending approval.
- If a Supplier-first company later enables Buyer mode, buyer onboarding wizard applies as normal (ONB1/ONB2).","onboarding,phase-1-core-procurement,story",Phase 1 - Core Procurement
Story,ONB4 — Edit company profile,,ESA-ONB,ONB4,"As an owner, I can update company info.

Acceptance Criteria:
- Editable fields with validation.
- Changes audit-logged (who/when).","onboarding,phase-1-core-procurement,story",Phase 1 - Core Procurement
Epic,[SUPA] Supplier Application & Approval,ESA-SUPA,,,,"phase-1-core-procurement,supplier-application",Phase 1 - Core Procurement
Story,SUPA1 — Apply as Supplier (company-level),,ESA-SUPA,SUPA1,"As an owner, I can apply to act as a supplier.

Acceptance Criteria:
- “Apply as Supplier” entry point.
- Collect supplier profile (capabilities, materials, locations, MOQ, lead time, certifications/quality standards, ESG/tax/bank docs).
- Creates Supplier Application with status pending.
- Sets supplier_profile_completed_at.","phase-1-core-procurement,story,supplier-application",Phase 1 - Core Procurement
Story,SUPA2 — Admin reviews supplier applications,,ESA-SUPA,SUPA2,"As a super admin, I can review, approve, reject applications.

Acceptance Criteria:
- Review queue list + detail page with documents.
- Approve → company supplier_status=approved, supplier_approved_at set; optional “List publicly” toggle.
- Reject → supplier_status=rejected + reason + notification.","phase-1-core-procurement,story,supplier-application",Phase 1 - Core Procurement
Story,SUPA3 — Block supplier features until approved,,ESA-SUPA,SUPA3,"As the system, I prevent supplier actions unless supplier_status=approved.

Acceptance Criteria:
- Middleware on supplier endpoints (RFQ respond, quotes, PO receive).
- UI disables supplier actions with explanation banner.","phase-1-core-procurement,story,supplier-application",Phase 1 - Core Procurement
Story,SUPA4 — Supplier directory visibility toggle,,ESA-SUPA,SUPA4,"As an approved supplier, I can set my directory visibility (public/hidden).

Acceptance Criteria:
- Toggle only if approved.
- Directory uses approved + public + profile_completed filter.","c,phase-1-core-procurement,story,supplier-application",Phase 1 - Core Procurement
Story,SUPA5 — Supplier-first post-login status + “Complete Supplier Application” CTA,,ESA-SUPA,SUPA5,"As a Supplier-first company owner, I see my approval/application status after login and I can complete my Supplier Application while I’m waiting for super admin approval.

Acceptance Criteria:
- After login, supplier-first companies see a persistent status banner/card: Not submitted / Submitted / Under review / Approved / Rejected.
- Primary CTA: “Complete Supplier Application” → supplier application flow (reuses SUPA1 form/fields).
- If Submitted/Under review: show “Please wait for approval” message + what’s allowed vs blocked.
- If Rejected: show reason and CTA “Update & Resubmit”.
- Supplier actions remain blocked until approved (SUPA3); directory listing remains hidden until approved + public + profile complete (SUPD1/SUPD4).","c,phase-1-core-procurement,story,supplier-application",Phase 1 - Core Procurement
Story,"SUPA6 — Supplier Application supports draft save, submit, and resubmission",,ESA-SUPA,SUPA6,"As a supplier applicant, I can save my supplier profile as a draft, submit it for review, and resubmit if rejected.

Acceptance Criteria:
- Supplier application can be saved as Draft (manual save and/or auto-save).
- Submit sets application status to pending and locks the record from editing (read-only) until a decision is made.
- If rejected, applicant can edit and resubmit; previous submission is retained for audit/history.
- Uploaded documents are stored with metadata (type, uploaded_at, version) for admin review.","c,phase-1-core-procurement,story,supplier-application",Phase 1 - Core Procurement
Epic,[SUPD] Supplier Directory & Profiles,ESA-SUPD,,,,"phase-1-core-procurement,supplier-directory",Phase 1 - Core Procurement
Story,SUPD1 — Public supplier directory list,,ESA-SUPD,SUPD1,"As a buyer, I can browse suppliers.

Acceptance Criteria:
- Lists only: supplier_status=approved AND visibility=public AND profile completed.
- Search by text.
- Filters: capability, material, country, industry, certification, max MOQ, max lead time.
- Pagination.","d,phase-1-core-procurement,story,supplier-directory",Phase 1 - Core Procurement
Story,SUPD2 — Public supplier profile page,,ESA-SUPD,SUPD2,"As a buyer, I can view supplier profiles.

Acceptance Criteria:
- Shows logo, tagline, capabilities, industries, certifications, locations, MOQ, lead-time.
- “Send RFQ” CTA (leads to RFQ creation with supplier preselected if direct RFQ).","d,phase-1-core-procurement,story,supplier-directory",Phase 1 - Core Procurement
Story,SUPD3 — Manage supplier directory profile,,ESA-SUPD,SUPD3,"As an approved supplier (owner/admin), I can edit my public profile.

Acceptance Criteria:
- Edit directory_* fields (logo/hero, tagline, chips for capabilities/industries, contacts).
- Validation + preview.
- Audit trail for changes.","d,phase-1-core-procurement,story,supplier-directory",Phase 1 - Core Procurement
Story,SUPD4 — Only approved + public suppliers appear in directory,,ESA-SUPD,SUPD4,"As the system, I only show companies in the supplier directory that are approved
suppliers and public.","d,phase-1-core-procurement,story,supplier-directory",Phase 1 - Core Procurement
Epic,[RFQ] RFQ Creation & Distribution,ESA-RFQ,,,,"phase-1-core-procurement,rfq",Phase 1 - Core Procurement
Story,RFQ1 — Create Ready-Made RFQ,,ESA-RFQ,RFQ1,"As a buyer, I can create an RFQ for off-the-shelf items.

Acceptance Criteria:
- Fields: item/part name, quantity, delivery timeline, notes, category/part no.
- Submit adds RFQ to “Sent”.","e,phase-1-core-procurement,rfq,story",Phase 1 - Core Procurement
Story,RFQ2 — Create Manufacture RFQ with CAD,,ESA-RFQ,RFQ2,"As a buyer, I can create a custom/manufacture RFQ.

Acceptance Criteria:
- Fields: material, finish/tolerance, manufacturing method, notes.
- CAD upload (validated types), stored securely.
- Submit adds RFQ to “Sent”.","e,phase-1-core-procurement,rfq,story",Phase 1 - Core Procurement
